22217 3 мальное (1917)  (1912)  (2013)  (1930)  (1990)  (1989)  (1920)
22217 4         (1923)  (1916)       .       .       .       .  (1921)
22235 1 среднее   8.46    3.10    1.78    1.87    1.49    4.45   15.18
22235 2 макси-      15      13       7      12      11      20      27
22235 3 мальное (1944)  (1986)  (1936)  (1964)  (1990)  (1989)  (2011)
22235 4         (1957)       .  (1946)       .  (2003)       .       .
22471 1 среднее   5.96    2.02    1.53    1.73    1.63    5.35   14.04
22471 2 макси-      10       8       9       6      11      18      21
22471 3 мальное (1986)  (1986)  (1972)  (1991)  (1990)  (1989)  (1967)
22471 4         (1996)       .       .  (2006)       .       .  (1975)
22520 1 среднее    .     13.28    7.13    2.67    1.74    4.45   11.53
22520 2 макси-       .      25      24      15      12      16      17
22520 3 мальное      .  (1996)  (2007)  (1930)  (1990)  (1967)  (1918)
22520 4              .  (2005)       .       .       .  (1989)  (1920)
22550 1 среднее   3.35    1.08    0.66    1.76    1.18    3.33   11.87
22550 2 макси-       5       4       5      10      12      16      16
22550 3 мальное (1884)  (1916)  (2007)  (1949)  (1990)  (1989)  (1918)
22550 4         (1890)  (1928)  (2013)       .       .       .  (1920)
22619 1 среднее    .     11.88    6.21    0.81    0.85    1.65    5.44
22619 2 макси-       .      23      23       5       7       7       7
22619 3 мальное      .  (1982)  (2007)  (1973)  (1990)  (1967)  (1966)
22619 4              .       .       .  (2007)       .  (1989)  (1967)
22641 1 среднее    .     12.64    6.92    1.43    1.10    2.61    8.40
22641 2 макси-       .      25      23       7      10      11      11
22641 3 мальное      .  (1986)  (2007)  (1937)  (1990)  (1989)  (1948)
22641 4              .  (2005)       .  (1949)       .       .  (1949)
22676 1 среднее   5.53    1.69    1.20    1.36    0.91    3.42   11.31
22676 2 макси-       9       8       9       7      11      12      14
22676 3 мальное (1964)  (1982)  (2013)  (2007)  (1990)  (1989)  (1962)
22676 4         (1981)       .       .       .       .       .  (1967)
22768 1 среднее   2.61    0.84    0.52    0.60    0.40    1.17    3.83
22768 2 макси-       4       3       4       5       4       5       5
22768 3 мальное (1917)  (1916)  (1951)  (1936)  (1961)  (1959)  (1916)
22768 4         (1924)  (1930)  (2003)  (1937)  (1990)  (1961)  (1918)
22802 1 среднее    .      9.51    6.03    7.35    6.18   14.00     .  
22802 2 макси-       .      17      17      19      23      28       .
22802 3 мальное      .  (1966)  (2011)  (1989)  (1990)  (1967)       .
22802 4              .  (1982)       .  (1993)       .       .       .
22820 1 среднее    .     11.89    6.49    0.49    0.45    0.82    2.20
22820 2 макси-       .      23      20       3       3       3       3
22820 3 мальное      .  (1982)  (1936)  (1936)  (1938)  (1938)  (1936)
22820 4              .  (1996)       .  (1937)  (1948)  (1948)  (1937)
22837 1 среднее    .     13.37    6.84    0.37    0.24    0.61    1.54
22837 2 макси-       .      26      21       2       2       2       2
22837 3 мальное      .  (1996)  (1972)  (1936)  (1914)  (1912)  (1910)
22837 4              .       .  (2007)  (1937)  (1938)  (1926)  (1911)
23022 1 среднее  10.31    2.08    0.61    0.05    0.01    0.12    0.31
23022 2 макси-      24      11       7       2       1       2       4
23022 3 мальное (2007)  (1996)  (1953)  (1947)  (1951)  (1990)  (1961)
23022 4              .       .       .       .       .  (1993)       .
23032 1 среднее  10.31    1.18    0.28     .       .      0.01    0.11
23032 2 макси-      25      10       3       .       .       1       2
23032 3 мальное (1944)  (1929)  (1953)       .       .  (2004)  (1961)
23032 4              .  (2005)       .       .       .       .       .
23058 1 среднее  10.23    0.93    0.02     .       .       .      0.02
23058 2 макси-      23       6       1       .       .       .       1
23058 3 мальное (2011)  (1977)  (2007)       .       .       .  (2008)
23074 1 среднее   0.20     .       .       .       .      0.20    3.96
23074 2 макси-       2       .       .       .       .       2      19
23074 3 мальное (1913)       .       .       .       .  (1961)  (1997)
23074 4         (1949)       .       .       .       .  (1968)       .
23205 1 среднее   8.56    2.99    1.26    0.31    0.16    0.53    2.74
23205 2 макси-      17      10       7       4       5       6       9
23205 3 мальное (1961)  (1977)  (1936)  (1937)  (1991)  (1989)  (1948)
23205 4              .  (1982)  (2007)       .       .  (2000)  (1995)
23242 1 среднее  11.12    0.93    0.08    0.05    0.04    0.29    5.49
23242 2 макси-      27       5       2       2       1       3      21
23242 3 мальное (2007)  (2005)  (1953)  (2007)  (1962)  (1938)  (1951)
23242 4              .       .       .       .  (1980)  (1961)       .
23256 1 среднее   9.97    0.66    0.09    0.03    0.01    0.17    4.70
23256 2 макси-      22       4       2       2       1       3      18
23256 3 мальное (2007)  (1971)  (1953)  (2007)  (1995)  (1993)  (1995)
23256 4         (2011)  (2007)       .       .       .       .       .
23274 1 среднее  10.05    0.74    0.01     .       .      0.20    5.05
23274 2 макси-      21       6       1       .       .       4      16
23274 3 мальное (2011)  (1971)  (1950)       .       .  (1990)  (1995)
23274 4              .  (2007)       .       .       .       .       .
23324 1 среднее  10.11    2.70    0.88    0.13    0.10    0.33    3.25
23324 2 макси-      20      11       6       3       2       6       9
23324 3 мальное (1934)  (1967)  (2013)  (1947)  (1938)  (2000)  (1943)
23324 4         (1944)  (1982)       .       .  (1989)       .  (1948)
23330 1 среднее  10.13    1.41    0.43    0.11    0.04    0.34    3.74
23330 2 макси-      22       7       4       3       2       6      14
23330 3 мальное (1944)  (1958)  (1953)  (2008)  (1991)  (1989)  (1995)
23330 4              .  (1996)  (2007)       .       .       .       .
23383 1 среднее   0.10     .       .       .       .      0.09    3.24
23383 2 макси-       1       .       .       .       .       2      12
23383 3 мальное (1948)       .       .       .       .  (1983)  (2007)
23383 4         (1949)       .       .       .       .  (1990)       .
23405 1 среднее   8.19    2.27    0.76    0.78    0.65    4.01   15.75
23405 2 макси-      16      12       8       8       5      19      24
23405 3 мальное (1961)  (1996)  (2013)  (1930)  (1984)  (1989)  (1943)
23405 4         (1986)       .       .       .  (1991)       .  (1967)
23445 1 среднее   8.80    1.20    0.26    0.06    0.02    0.35    2.87
23445 2 макси-      21       6       3       2       1       7       9
23445 3 мальное (2010)  (1982)  (1982)  (2008)  (1989)  (1990)  (1961)
23445 4              .  (2004)       .       .       .       .  (1995)
23463 1 среднее  11.15    1.19    0.08     .       .      0.44    4.96
23463 2 макси-      23       6       2       .       .       5      13
23463 3 мальное (2011)  (1971)  (1979)       .       .  (2000)  (1997)
23463 4              .  (2010)       .       .       .       .       .
23472 1 среднее   9.33    0.76    0.09    0.02    0.02    0.15    2.46
23472 2 макси-      19       8       2       1       1       4       9
23472 3 мальное (1967)  (1971)  (1979)  (1995)  (1993)  (1990)  (1972)
23472 4              .       .       .       .       .       .  (1976)
23552 1 среднее  10.31    1.29    0.20    0.08    0.01    0.29    5.47
23552 2 макси-      21       8       4       3       1       4      15
23552 3 мальное (2010)  (2004)  (2003)  (1995)  (1995)  (1967)  (1995)
23552 4              .       .       .       .       .  (1989)       .
23631 1 среднее   9.14    1.53    0.29    0.12    0.25    4.23   14.87
23631 2 макси-      18       9       7       2       3      17      25
23631 3 мальное (2010)  (1977)  (1982)  (1955)  (1962)  (1989)  (1995)
23631 4              .  (1996)       .  (1975)       .       .  (2012)
23662 1 среднее  10.17    1.02    0.27    0.09     .      0.17    1.39
23662 2 макси-      19       8       4       4       .       3       4
23662 3 мальное (1978)  (1971)  (2003)  (1995)       .  (1990)  (1956)
23662 4         (1997)       .       .       .       .       .  (1961)
23678 1 среднее   9.52    0.57    0.06    0.01    0.01    0.01    0.40
23678 2 макси-      18       8       2       1       1       1       1
23678 3 мальное (1931)  (2004)  (1979)  (1948)  (2002)  (1983)  (1936)
23678 4         (1954)       .  (2003)       .       .       .  (1937)
23711 1 среднее   8.74    1.93    0.58    0.42    0.18    2.59   11.98
23711 2 макси-      16      14       7       4       3      12      16
23711 3 мальное (2002)  (1982)  (2003)  (1988)  (2008)  (1959)  (1917)
23711 4         (2007)       .       .       .       .       .  (1918)
23724 1 среднее   9.19    1.99    0.52    0.21    0.12    2.84    9.57
23724 2 макси-      16      13       6       3       2      12      13
23724 3 мальное (1955)  (1996)  (2003)  (1949)  (1989)  (1989)  (1949)
23724 4         (1986)       .       .  (1988)  (1990)       .  (1950)
23734 1 среднее   9.50    1.39    0.19    0.11    0.13    2.60   13.41
23734 2 макси-      17       9       5       2       2      14      20
23734 3 мальное (1955)  (1996)  (2003)  (1988)  (1962)  (1989)  (1973)
23734 4         (2007)       .       .  (2007)  (1978)       .  (1995)
23867 1 среднее   9.30    1.53    0.23    0.16    0.20    3.28   14.49
23867 2 макси-      17      11       3       3       3      11      22
23867 3 мальное (1955)  (2008)  (1982)  (1995)  (1962)  (2002)  (1938)
23867 4         (1983)       .       .  (2007)       .       .  (1995)
23884 1 среднее  10.30    1.07    0.14    0.10    0.14    2.36   13.47
23884 2 макси-      17       8       2       2       2      10      20
23884 3 мальное (1954)  (1971)  (1957)  (1948)  (1978)  (2002)  (1938)
23884 4         (1967)       .  (1982)  (1992)  (2002)       .  (1944)
23891 1 среднее  11.47    0.57    0.04    0.01    0.04    2.74   16.69
23891 2 макси-      20       6       2       1       2      11      25
23891 3 мальное (1947)  (2010)  (1979)  (1948)  (1978)  (1990)  (1938)
23891 4              .       .       .       .       .       .  (1939)
23914 1 среднее   5.91    0.89    0.23    0.16    0.10    1.10    7.62
23914 2 макси-      11       7       4       2       3       7      10
23914 3 мальное (1932)  (1969)  (1954)  (1920)  (1990)  (2000)  (1917)
23914 4         (1934)       .       .  (1926)  (2002)       .  (1918)
23921 1 среднее   8.00    1.86    0.74    0.28    0.23    1.91    5.44
23921 2 макси-      13       9       7       4       4       7       7
23921 3 мальное (1937)  (1969)  (1982)  (1937)  (1961)  (1974)  (1935)
23921 4         (1955)  (1979)       .  (1949)       .  (1984)  (1938)
23933 1 среднее   8.49    1.46    0.21    0.22    0.21    2.17   11.77
23933 2 макси-      15      11       3       3       3      13      17
23933 3 мальное (2007)  (2008)  (2003)  (1988)  (1962)  (1989)  (1945)
23933 4         (2010)       .       .  (2007)  (1981)       .  (1951)
23955 1 среднее   8.68    1.50    0.29    0.21    0.29    2.82   12.95
23955 2 макси-      16      12       3       3       3      14      19
23955 3 мальное (2010)  (2008)  (2013)  (1988)  (1939)  (1989)  (1938)
23955 4              .       .       .  (1995)  (1962)       .  (1944)
23966 1 среднее  10.00    1.54    0.18    0.12    0.24    3.22   12.69
23966 2 макси-      18       9       3       2       2      12      19
23966 3 мальное (2010)  (2008)  (1998)  (1995)  (1962)  (2002)  (1982)
23966 4              .       .       .  (2007)  (1990)       .  (1995)
23986 1 среднее  10.78    0.58    0.03     .      0.08    2.88   15.84
23986 2 макси-      22       5       1       .       3      12      28
23986 3 мальное (1997)  (2001)  (1979)       .  (1963)  (2000)  (1997)
23986 4              .  (2010)  (1983)       .       .       .       .
24125 1 среднее   0.31     .       .       .       .      0.05    2.23
24125 2 макси-       5       .       .       .       .       2      13
24125 3 мальное (1997)       .       .       .       .  (1968)  (2007)
24125 4              .       .       .       .       .  (1981)       .
24136 1 среднее   0.19     .       .       .       .       .      2.05
24136 2 макси-       3       .       .       .       .       .      12
24136 3 мальное (1948)       .       .       .       .       .  (2007)
24143 1 среднее   0.07     .       .       .       .       .      0.91
24143 2 макси-       2       .       .       .       .       .       8
24143 3 мальное (1967)       .       .       .       .       .  (2007)
24143 4         (1992)       .       .       .       .       .       .
24266 1 среднее   0.12     .       .       .       .       .      0.41
24266 2 макси-       3       .       .       .       .       .       5
24266 3 мальное (1967)       .       .       .       .       .  (1968)
24266 4              .       .       .       .       .       .  (1977)
24329 1 среднее   0.27     .       .       .       .      0.02    1.46
24329 2 макси-       3       .       .       .       .       1       8
24329 3 мальное (1970)       .       .       .       .  (1963)  (1968)
24329 4         (1997)       .       .       .       .       .  (1976)
24343 1 среднее   0.05     .       .       .       .       .      0.53
24343 2 макси-       2       .       .       .       .       .       6
24343 3 мальное (1948)       .       .       .       .       .  (2007)
24382 1 среднее   0.05     .       .       .       .       .      0.18
24382 2 макси-       1       .       .       .       .       .       3
24382 3 мальное (1967)       .       .       .       .       .  (1977)
24382 4         (1999)       .       .       .       .       .       .
24507 1 среднее  10.71    0.62    0.09    0.01     .       .      0.65
24507 2 макси-      24       6       2       1       .       .       2
24507 3 мальное (1967)  (2004)  (1979)  (1948)       .       .  (1937)
24507 4              .       .  (1983)       .       .       .  (1946)
24606 1 среднее  11.97    0.82    0.09     .       .      0.02    0.72
24606 2 макси-      24       7       2       .       .       1       2
24606 3 мальное (1967)  (2004)  (1979)       .       .  (1968)  (1953)
24606 4              .       .  (1983)       .       .       .  (1956)
24641 1 среднее   9.29    0.14     .       .       .      1.29   14.86
24641 2 макси-      22       3       .       .       .      11      29
24641 3 мальное (1947)  (2004)       .       .       .  (1990)  (2005)
24661 1 среднее   0.01     .       .       .       .      0.34   12.47
24661 2 макси-       1       .       .       .       .       5      27
24661 3 мальное (2012)       .       .       .       .  (2001)  (2005)
24688 1 среднее   0.06     .       .       .       .       .      0.08
24688 2 макси-       2       .       .       .       .       .       2
24688 3 мальное (1982)       .       .       .       .       .  (1981)
24688 4              .       .       .       .       .       .  (1991)
24713 1 среднее  11.09    0.68    0.02     .      0.04    2.82   16.62
24713 2 макси-      24       5       1       .       1      15      30
24713 3 мальное (1967)  (1997)  (1983)       .  (1963)  (1990)  (1997)
24713 4              .  (2007)       .       .  (1973)       .       .
24738 1 среднее  11.22    0.50     .      0.01    0.03    1.90   15.69
24738 2 макси-      22       5       .       1       1      13      26
24738 3 мальное (1967)  (2007)       .  (1979)  (1963)  (1990)  (1997)
24738 4              .       .       .       .  (1998)       .  (2007)
24790 1 среднее   0.10     .       .       .       .       .      0.10
24790 2 макси-       2       .       .       .       .       .       3
24790 3 мальное (2003)       .       .       .       .       .  (2007)
24790 4         (2007)       .       .       .       .       .       .
24817 1 среднее  12.95    0.73    0.06    0.01    0.03    2.42   15.25
24817 2 макси-      22       6       2       1       1      16      25
24817 3 мальное (1992)  (1997)  (1990)  (1979)  (1963)  (1990)  (1997)
24817 4         (2008)  (2001)       .       .  (1978)       .       .
24908 1 среднее  12.86    0.91    0.07    0.03    0.03    3.11   15.76
24908 2 макси-      21       9       2       1       1      14      23
24908 3 мальное (1967)  (2001)  (1958)  (1948)  (1946)  (1990)  (1948)
24908 4         (2008)       .       .  (1979)  (1997)  (2002)  (1997)
24959 1 среднее   9.91    0.07     .       .       .      0.49   13.87
24959 2 макси-      22       2       .       .       .       8      27
24959 3 мальное (1947)  (1978)       .       .       .  (1930)  (1968)
24966 1 среднее   9.83    0.13     .       .       .      0.40   13.86
24966 2 макси-      19       4       .       .       .       6      23
24966 3 мальное (1947)  (2005)       .       .       .  (1989)  (1968)
24966 4              .       .       .       .       .       .  (2007)
24967 1 среднее   0.13     .       .       .       .      1.32   16.77
24967 2 макси-       2       .       .       .       .      11      25
24967 3 мальное (1948)       .       .       .       .  (1959)  (1968)
24967 4         (1957)       .       .       .       .       .  (2005)
25062 1 среднее   1.36    0.22    0.32     .       .      0.09    0.07
25062 2 макси-      10       4       4       .       .       2       2
25062 3 мальное (2007)  (1995)  (1983)       .       .  (1962)  (1963)
25138 1 среднее   0.23    0.22    0.16    0.01     .      0.18    0.65
25138 2 макси-       3       4       3       1       .       5       9
25138 3 мальное (1944)  (1995)  (1937)  (1979)       .  (2003)  (1954)
25138 4         (2003)       .  (1983)       .       .  (2011)       .
25173 1 среднее   1.07    0.45    0.25    0.01    0.01    0.05    0.07
25173 2 макси-       8       5       4       1       1       2       2
25173 3 мальное (2012)  (1966)  (1955)  (2004)  (1957)  (2011)  (1954)
25173 4              .  (1985)  (1983)       .       .       .  (1963)
25206 1 среднее    .       .       .       .       .       .      0.57
25206 2 макси-       .       .       .       .       .       .       7
25206 3 мальное      .       .       .       .       .       .  (1990)
25248 1 среднее   0.33    0.18    0.09    0.14     .      0.09    0.48
25248 2 макси-       5       3       2       3       .       2       5
25248 3 мальное (1974)  (1985)  (1955)  (1956)       .  (1997)  (2011)
25248 4              .       .  (1983)  (1971)       .       .       .
25282 1 среднее   0.49    0.05     .       .       .      0.02     .  
25282 2 макси-       3       1       .       .       .       1       .
25282 3 мальное (2003)  (1995)       .       .       .  (1989)       .
25282 4         (2010)  (2007)       .       .       .       .       .
25325 1 среднее   0.07    0.07     .       .       .      0.09    0.54
25325 2 макси-       2       2       .       .       .       3       8
25325 3 мальное (1944)  (1964)       .       .       .  (2011)  (1954)
25325 4              .  (1995)       .       .       .       .       .
25356 1 среднее   0.41    0.23    0.08    0.29    0.10    0.30    0.46
25356 2 макси-       5       3       2       3       3       4       5
25356 3 мальное (2003)  (1966)  (1951)  (1956)  (1989)  (1997)  (1954)
25356 4              .  (2001)       .  (1971)       .       .       .
25378 1 среднее   9.98    2.90    1.24    1.04    0.92    0.50    0.82
25378 2 макси-      21      11       8       7       7       5       7
25378 3 мальное (2006)  (1985)  (1983)  (2011)  (1989)  (1989)  (2004)
25378 4         (2007)       .       .       .  (2007)       .       .
25399 1 среднее   7.83    1.95    1.00    1.25    1.37    1.00    2.09
25399 2 макси-      18       8       8       8      10       5       8
25399 3 мальное (2006)  (1985)  (1983)  (1979)  (1989)  (1967)  (2004)
25399 4              .  (2000)       .       .       .  (2002)       .
25400 1 среднее   0.03     .       .       .       .       .      0.23
25400 2 макси-       1       .       .       .       .       .       3
25400 3 мальное (1990)       .       .       .       .       .  (2007)
25400 4         (2012)       .       .       .       .       .       .
25428 1 среднее   0.39    0.17    0.03     .       .      0.20    0.50
25428 2 макси-       6       5       2       .       .       5       8
25428 3 мальное (2003)  (1964)  (1983)       .       .  (2003)  (2002)
25428 4              .       .       .       .       .  (2011)       .
25503 1 среднее   0.12     .       .       .       .       .      0.16
25503 2 макси-       3       .       .       .       .       .       3
25503 3 мальное (1990)       .       .       .       .       .  (2002)
25538 1 среднее   0.26    0.08     .      0.05     .      0.07    0.39
25538 2 макси-       3       1       .       1       .       2       4
25538 3 мальное (1984)  (1966)       .  (1968)       .  (2003)  (1992)
25538 4              .  (1973)       .  (1979)       .       .       .
25551 1 среднее   0.14    0.03     .      0.16    0.06    0.20    0.58
25551 2 макси-       2       1       .       4       2       3       9
25551 3 мальное (1908)  (1973)       .  (1968)  (1982)  (1996)  (1954)
25551 4         (1964)  (2007)       .       .  (1993)       .       .
25563 1 среднее   9.85    2.96    0.96    0.67    0.38    0.40    0.93
25563 2 макси-      22      11       6       6       5       5       9
25563 3 мальное (1991)  (1927)  (1955)  (1942)  (1957)  (1962)  (1948)
25563 4              .  (1940)  (1998)       .       .       .       .
25594 1 среднее   8.04    3.15    1.53    1.21    0.95    0.67    2.08
25594 2 макси-      18      11       9       9       9       5      13
25594 3 мальное (1949)  (1950)  (1983)  (1942)  (1989)  (1989)  (1948)
25594 4              .  (1966)       .  (1979)       .  (2000)       .
25677 1 среднее  10.51    3.82    1.69    1.00    0.43    0.80    1.56
25677 2 макси-      21      12      10      11       4       8       9
25677 3 мальное (1991)  (1966)  (2010)  (1968)  (1985)  (1967)  (1992)
25677 4              .       .       .       .  (1989)       .       .
25705 1 среднее   0.08    0.03     .       .       .       .      0.03
25705 2 макси-       2       2       .       .       .       .       1
25705 3 мальное (1994)  (1994)       .       .       .       .  (1973)
25705 4              .       .       .       .       .       .  (1977)
25745 1 среднее   8.94    1.84    0.82    0.07    0.11    0.29    0.50
25745 2 макси-      23      10       8       1       4       5       6
25745 3 мальное (2012)  (1995)  (2010)  (1966)  (1957)  (2011)  (1954)
25745 4              .       .       .  (1970)       .       .       .
25927 1 среднее   8.71    0.88    0.15    0.01    0.01    0.11    0.55
25927 2 макси-      17       5       6       1       1       2       6
25927 3 мальное (1991)  (2006)  (1955)  (2004)  (1968)  (1960)  (1954)
25927 4         (2003)       .       .       .       .  (1966)       .
25932 1 среднее   6.22    1.26    0.38    0.19    0.34    0.32    0.75
25932 2 макси-      12       9       5       5       4       6       7
25932 3 мальное (1984)  (1964)  (1955)  (1969)  (1950)  (2011)  (1954)
25932 4         (1991)       .       .       .  (1963)       .  (2002)
25954 1 среднее   8.03    2.86    1.34    0.24    0.27    0.13    0.41
25954 2 макси-      16      12      12       3       3       3       3
25954 3 мальное (1984)  (1985)  (1937)  (1966)  (1957)  (2011)  (1936)
25954 4         (1991)       .       .       .  (1996)       .  (1954)
25956 1 среднее   7.68    2.95    1.64    0.58    0.61    0.74    1.11
25956 2 макси-      16      14      11       4       6       5       7
25956 3 мальное (1984)  (2012)  (1937)  (1970)  (1957)  (1996)  (1954)
25956 4         (1991)       .  (1983)       .       .  (2007)       .
26063 1 среднее    .      6.93    4.51    6.90    5.72   11.58     .  
26063 2 макси-       .      12      13      22      21      23       .
26063 3 мальное      .  (1888)  (1932)  (1930)  (1974)  (1967)       .
26063 4              .  (1894)  (1951)       .       .  (1989)       .
26157 1 среднее    .      4.12    3.62    6.93    5.49    9.46     .  
26157 2 макси-       .       7       8      16      15      16       .
26157 3 мальное      .  (1982)  (1973)  (2007)  (1974)  (1989)       .
26157 4              .  (1986)  (1980)       .  (1990)  (1995)       .
26275 1 среднее    .      8.17    5.35    4.28    4.17    6.92     .  
26275 2 макси-       .      14      15      13      13      13       .
26275 3 мальное      .  (1938)  (2013)  (2007)  (1990)  (1936)       .
26275 4              .  (1982)       .       .       .  (1961)       .
26359 1 среднее    .      7.33    4.92    3.46    3.50    5.50     .  
26359 2 макси-       .      12      13      10      10      10       .
26359 3 мальное      .  (1982)  (2013)  (2005)  (1974)  (1966)       .
26359 4              .  (1986)       .  (2007)  (1989)  (1967)       .
26781 1 среднее    .     10.93    6.03    4.51    4.57    9.03     .  
26781 2 макси-       .      19      17      19      17      19       .
26781 3 мальное      .  (1978)  (2006)  (2007)  (2002)  (1961)       .
26781 4              .  (1982)       .       .       .  (1989)       .
26997 1 среднее    .      7.70    5.35    3.85    3.69    6.50     .  
26997 2 макси-       .      12      13      11      12      12       .
26997 3 мальное      .  (1962)  (1983)  (1994)  (2013)  (1961)       .
26997 4              .  (1969)       .  (2005)       .  (1966)       .
27037 1 среднее    .     14.64    7.25    0.31    0.19    0.47    1.56
27037 2 макси-       .      30      20       2       2       2       2
27037 3 мальное      .  (1996)  (1972)  (1952)  (1961)  (1958)  (1943)
27037 4              .       .  (2006)  (1962)  (1990)  (1959)  (1945)
27051 1 среднее   1.81    0.46    0.34    0.42    0.31    0.89    3.18
27051 2 макси-       3       2       3       4       4       4       4
27051 3 мальное (1917)  (1916)  (1932)  (1923)  (1914)  (1959)  (1917)
27051 4         (1918)  (1932)  (1994)       .       .  (1961)  (1918)
27333 1 среднее    .     13.48    6.06    4.30    4.08   12.75     .  
27333 2 макси-       .      27      20      18      24      26       .
27333 3 мальное      .  (1996)  (2006)  (2007)  (2002)  (1989)       .
27333 4              .       .       .       .       .  (2007)       .
27459 1 среднее    .     14.38    5.62    3.22    3.58   11.55     .  
27459 2 макси-       .      28      18      21      23      25       .
27459 3 мальное      .  (2008)  (2006)  (2007)  (2002)  (2002)       .
27459 4              .       .       .       .       .  (2008)       .
27595 1 среднее    .     14.02    4.58    2.89    2.78   12.47     .  
27595 2 макси-       .      30      20      18      24      29       .
27595 3 мальное      .  (2008)  (2006)  (2007)  (2002)  (2002)       .
27595 4              .  (2013)       .       .       .       .       .
27612 1 среднее    .      9.54    5.67    4.28    3.82    8.18     .  
27612 2 макси-       .      17      14      16      14      16       .
27612 3 мальное      .  (1969)  (2013)  (2007)  (1974)  (1989)       .
27612 4              .  (1996)       .       .       .  (2008)       .
27648 1 среднее    .     12.77    5.45    4.02    4.38   12.46     .  
27648 2 макси-       .      24      18      22      22      26       .
27648 3 мальное      .  (1996)  (1960)  (2007)  (2002)  (2008)       .
27648 4              .  (2009)       .       .       .       .       .
27675 1 среднее    .     13.15    4.85    3.63    3.57   13.04     .  
27675 2 макси-       .      26      16      20      23      29       .
27675 3 мальное      .  (1996)  (2006)  (2007)  (2002)  (2008)       .
27675 4              .  (2013)       .       .       .       .       .
27707 1 среднее    .     10.91    6.00    4.50    4.91   10.81     .  
27707 2 макси-       .      19      15      21      17      21       .
