26781  0.5   .   0.0  0.0  0.1
26997  0.4  0.2  0.1   .   0.2
27037  0.1   .   0.0   .    . 
27051  0.1   .    .    .   0.0
27333  0.2  0.1   .    .    . 
27459  0.2  0.2  0.1  0.1  0.1
27595  0.1  0.1  0.1   .   0.1
27612  0.4  0.0  0.0  0.1  0.1
27648  0.4  0.4  0.2  0.1  0.1
27675  0.1  0.1  0.1  0.0  0.1
27707  0.2  0.1  0.2  0.1  0.2
27823  0.3   .   0.1   .    . 
27857  0.4  0.1  0.0  0.0  0.1
27995  0.2  0.2  0.1   .   0.1
28009  0.2   .   0.1   .   0.2
28064  0.1   .    .    .    . 
28138  0.3  0.2  0.1   .   0.2
28224  0.2  0.0  0.0   .   0.1
28255  0.1   .    .   0.0   . 
28275  0.0   .    .    .    . 
28418  0.2  0.0   .    .   0.1
28434  0.1   .   0.0   .    . 
28552  0.1   .    .    .   0.1
28573  0.0   .    .    .    . 
28666  0.0   .    .    .    . 
28704  0.3  0.1  0.1  0.0   . 
28722  0.4  0.3   .   0.1   . 
28748  0.0   .    .    .    . 
29231   .    .    .    .   0.0
29313  0.0   .    .    .    . 
29328  0.0   .    .    .    . 
29379  0.1   .   0.1   .    . 
29570  0.2   .    .    .    . 
29594  0.1   .    .    .    . 
29612   .    .    .   0.0   . 
29645  0.2  0.1   .    .    . 
29752  4.7  2.4  1.9  1.2  1.3
29866  0.1   .    .    .    . 
29939  0.5  0.1  0.1  0.2  0.1
30309  0.0   .    .    .    . 
30393  0.0   .    .    .   0.0
30433  0.0  0.0   .    .    . 
30636  0.1   .    .    .   0.0
30673  0.0   .    .    .    . 
30710   .   0.0  0.0   .    . 
30758   .    .   0.1   .   0.0
30925   .    .    .    .   0.0
31004   .    .    .    .   0.0
31088  0.3  0.1  0.0   .   0.0
31168  1.4  0.8  0.5  0.0  0.5
31174  0.9  0.6  0.5   .   0.2
31329  0.1   .    .    .    . 
31369  1.1  0.5  0.3  0.2  0.3
31416  0.3  0.1  0.0   .    . 
31439  0.3  0.3  0.2  0.2  0.0
31707  0.3  0.0   .    .   0.0
31770  2.5  1.5  0.3  0.4  1.4
31829  2.3  0.8  0.7  0.7  1.3
31960  1.3  0.4  0.2  0.4  0.7
31961  0.8  0.1   .   0.1  0.2
31989  2.0  0.6  0.2  0.7  0.9
32027  0.3  0.7  0.5  0.5  0.3
32061  0.5  0.3  0.1  0.1  0.4
32076  2.2  1.6  0.6  0.7  1.1
32098  2.2  1.0  0.4  0.3  0.9
32099  1.2  0.7  0.3  0.6  0.4
32150  2.3  1.3  1.2  0.6  0.6
32165  4.3  2.1  1.1  0.8  2.7
32213  2.3  1.7  1.4  1.3  0.9
32252  0.2  0.1  0.1   .    . 
32287  0.3  0.2  0.0  0.1  0.0
32389  1.2  1.0  0.8  0.8  0.6
32477  1.3  0.2  0.1  0.0  0.1
32509  6.1  5.4  4.5  3.6  3.3
32562  1.6  0.5  0.1  0.4  0.1
32618  1.0  0.2  0.5  0.4  0.4
34110  0.4  0.1  0.1  0.0  0.1
34123  0.5  0.2  0.2  0.1  0.1
34152  0.7  0.1  0.2  0.1  0.2
34163  0.2  0.0  0.0  0.1  0.1
34186  0.1  0.0  0.0   .   0.1
34579  0.2   .   0.0  0.0  0.1
34720  1.0  0.8  0.5  0.5  0.3
34740  0.8  0.3  0.1  0.1  0.3
34866  0.1  0.1   .    .   0.2
34880  0.1  0.0  0.0  0.0   . 
34927  2.3  2.0  1.2  1.4  1.4
34949  0.8  0.3  0.1  0.2  0.3
35011  0.2  0.1   .   0.1   . 
36038  0.9  0.4  0.2  0.2  0.4
36064  0.4  0.1  0.0   .   0.1
36229  0.3  0.0   .   0.0  0.1
37001  1.3  1.7  0.9  0.7  0.4
37061  0.1  0.0   .    .   0.2
37107 14.5 13.6 11.8 10.4  8.9
37126   .    .    .   0.1  0.2
37228  0.7  0.3  0.2  0.4  0.9
37470  1.1  0.8  0.0  0.4  0.3
37472  0.9  0.5  0.3  0.2  0.2
37663  0.4  0.0   .   0.1  0.3
31152  0.0   .    .    .    . 
