22217 3     .     .  1993     .     .     .  2010     .     .     .     .     .  1972     .     .
22235 1     9     7     5     6     5     2     4     8    11     8    10     8    29    18    46
22235 2  1970  1981  1987  1983  1988  1981  1969  1970  1992  1977  1977  1967  1970  1967  1967
22235 3     .     .     .     .     .  1990  1985     .     .  2000     .     .     .  1990     .
22471 1     5     4     5     5     5     2     5     4     6     5     8     9    22    18    33
22471 2  1985  1987  1984  1985  1985  1984  1984  1993  1994  1984  1995  2005  2005  1984  1985
22471 3  1986  1996     .  2000     .  1987     .  1995  2001  1986     .     .     .     .     .
22520 1     3     4     9     4     8     5     7     8     9     3     4     4    13    21    34
22520 2  1986  1987  1988  2001  2006  1987  1984  2006  1992  1996  2006  1993  1987  2006  2006
22520 3  1990     .     .  2012     .  1996     .     .     .  2000  2009  2010  2006     .     .
22550 1     5     4     7     8     4     5     4     8     7     7     5     5    22    25    41
22550 2  1968  1983  1983  1985  1972  1973  1972  1968  1985  1966  1968  1985  1984  1972  1972
22550 3     .     .     .     .  2011  1974  1985     .     .  1977  1972     .     .     .     .
22619 1     4     2     3     4     7     5     3     3     6     3     2     3    11    14    20
22619 2  1984  1991  1984  1990  2010  1987  1990  1993  1992  1997  2004  1984  1984  1991  1991
22619 3     .     .     .  1991     .     .     .     .     .     .     .     .     .     .     .
22641 1     6     4     6     4     3     2     1     4     5     9     5     5    17    14    29
22641 2  1966  1976  1972  1983  1971  1966  1966  1968  1968  1977  1967  1970  1968  1966  1966
22641 3  1970     .     .  2000  1972  1968  1975     .     .     .  1968     .  1973     .     .
22676 1     6     3     3     4     4     3     8     8     9     5     7     5    16    27    35
22676 2  1982  1968  1970  1979  1981  1974  1971  1968  1971  1974  1970  1978  1970  1971  1971
22676 3     .  1977  1973     .     .  1993     .  1971     .     .     .     .     .     .     .
22768 1     4     3     4     5     3     3     6     5     9     6     5     4    11    17    25
22768 2  1985  1978  1975  1972  2003  1978  1977  1987  1987  1979  1970  1979  1979  1972  1979
22768 3     .     .  1983     .     .     .     .     .     .     .     .     .     .     .     .
22802 1     6     8     9    10     5     4     5     9     9     8     5     8    26    32    47
22802 2  1966  1976  1977  1970  1968  1972  2009  1968  1972  1966  1967  1971  1966  1972  1972
22802 3     .     .     .     .  1981  1974     .  1978  1980  2006     .     .     .     .     .
22820 1     4     5     6     6     5     8     4     4     5     5     6     2    17    16    30
22820 2  2009  1974  1975  1975  1983  1987  1975  2006  1980  1979  2009  1997  2009  1980  2009
22820 3     .     .  1983  1980  1998     .  1984     .     .  2006     .  2000     .     .     .
22837 1     5     5     3     7     3     9     6     6     6     4     3     4    10    25    27
22837 2  1987  1974  1975  1972  1977  1971  1985  1968  1972  1982  1973  1978  1975  1972  1972
22837 3     .     .  1978     .  1984     .     .  1974  1980     .     .     .  1987     .     .
23022 1     4     4     6     6    11    18    25    25    19    12     7     3    17    82    93
23022 2  1975  1980  1997  1991  1973  2005  1986  1978  1980  1987  1977  1977  1980  1979  1979
23022 3     .     .     .  2000     .     .     .     .     .     .     .  1979     .     .     .
23032 1     3     3     8     9    10    18    23    24    13    10    12     3    18    65    80
23032 2  1967  1968  1967  1972  1977  2010  1971  1978  1979  1987  1977  1966  1977  1985  1985
23032 3  1977     .     .     .     .     .     .  1985     .     .     .  1969     .     .     .
23058 1     3     4     4     7     9    11     5     7     8     9     4     3    20    27    40
23058 2  1968  1967  1967  1994  2001  1983  1970  1985  1969  1987  1977  1970  1967  1968  1968
23058 3     .     .  1968     .     .     .  1982     .  1984     .     .  1982     .  1979     .
23074 1    14     6     2     2     5     4     2     3     4     4     3     6    22    11    27
23074 2  1977  1977  1981  1972  2002  1981  2007  1983  1987  1975  1974  1978  1977  1972  1977
23074 3     .  1979     .  1982     .     .     .     .     .  1993  2000     .     .     .     .
23205 1     6     3     5     6     6     5     8     6     6     6     6     3    18    20    32
23205 2  1999  1988  1985  2012  2002  2008  1991  2002  1984  2000  2002  1988  1999  1986  1985
23205 3     .  2000     .     .     .     .     .     .  1985     .     .  1992  2000  1991     .
23242 1     4     3     3     8     9    13     9     6     9    11     4     5    17    28    42
23242 2  1994  1966  1967  1973  1977  1975  1969  1987  1984  1973  1971  1975  1973  1975  1975
23242 3     .     .  1975     .     .     .     .     .     .     .  2004     .     .     .     .
23256 1     4     4     3     7     6     8     6     5     7     9     5     4    17    18    33
23256 2  1971  1967  1974  2007  2003  1975  1980  1998  1969  1967  2008  1999  1967  1972  1975
23256 3     .     .  1994     .  2005  1981     .     .  1983     .     .     .     .  1975     .
23274 1    16    17     4     3     4     3     2     4     5     4     7     8    35    12    44
23274 2  1974  1969  1982  1987  2001  1981  1970  1973  1969  1997  1975  2000  1969  2001  1969
23274 3     .     .  1987     .     .  2001  2012  2001  1970     .     .     .     .     .     .
23324 1     4     3     4     5     4     5     3     5     6     6     6     4    12    18    28
23324 2  1986  1981  1983  1990  1991  1981  1981  1974  2001  2000  1969  1969  1969  1981  1981
23324 3     .     .     .     .     .     .     .  1981     .     .     .     .     .     .     .
23330 1     6     4     5     6     6     4     5     7     7    12     7     5    23    23    34
23330 2  1981  2000  1974  1973  1991  1981  1974  1973  1975  1981  1982  1982  1981  1974  1981
23383 1     2     .     2     1     2     5    12     6     5     3     .     .     3    21    23
23383 2  1996     .  1970  1969  1986  1966  1970  1969  1980  1966     .     .  1966  1970  1970
23383 3     .     .     .  1974     .     .     .     .     .  1967     .     .  1967     .     .
23405 1     8     4     4     7     4     3     4     7     6     9     5     6    20    15    27
23405 2  1975  1966  1983  2012  1979  1969  1982  1985  1984  2000  1967  1966  1966  2012  1966
23405 3     .     .     .     .     .     .     .     .  2011     .  2010     .     .     .     .
23445 1     2     2     3     4     5     4     2     5     5     5     3     7    10    15    19
23445 2  1969  1967  1975  1995  1987  1993  1967  1986  2005  1973  1968  1972  1967  1987  1972
23445 3     .     .     .     .     .     .  1968  1987     .  2003  1986     .  1969     .     .
23463 1     .     .     1     1     3     3    11    12     8     3     3     2     3    21    24
23463 2     .     .  1974  1972  1990  1981  1967  1971  1969  1967  1969  1966  1966  1967  1967
23463 3     .     .  1986  1981     .     .     .     .  1987     .     .     .  1967     .     .
23472 1     4     6     2     1     5     3     3     7     6     4     2     4    16    12    27
23472 2  1967  1969  1969  1970  1990  2010  1995  1969  1970  1967  1970  1968  1969  2003  1969
23472 3     .     .     .  1972     .     .     .     .     .  1981  1985     .     .     .     .
23552 1     2     3     2     2     3     2     2     4     6     3     2     3     5    12    14
23552 2  1998  1994  1988  1990  1987  1987  2010  1992  1987  1990  1986  1999  1986  1987  1987
23552 3     .     .     .  1996  1990     .     .  1998     .  2001  1996     .  1996     .     .
23631 1     8    14     4     5     4     1     2     6     5     9     6    10    31    13    37
23631 2  1977  1977  1967  1982  1999  1968  1968  1967  1973  1983  1970  1968  1977  1981  1977
23631 3     .     .     .  1995     .  1970  2000     .  1980     .     .     .     .     .     .
23662 1     1     2     2     2     3     2     3     8     5     6     1     2     8    16    16
23662 2  1966  1984  1984  1973  1990  1973  1978  1978  1971  1969  1970  1969  1969  1978  1978
23662 3  1967  1995     .     .     .  1979  1986     .  1978     .  1971     .     .     .     .
23678 1     8     2     1     2     2     2     4     5     4     3     1     4    10     9    19
23678 2  1987  1987  1977  1979  1975  1976  1980  1988  1974  1997  1986  1986  1987  1974  1987
23678 3     .     .     .     .  1979  1977     .     .  1987     .  1991     .     .  1987     .
23711 1     5     4     3     8     5     3     2     4    10     9     6     6    14    14    25
23711 2  1969  1966  1983  2012  1968  1970  1967  1967  1985  1974  1967  1968  1969  1985  1974
23711 3     .  1976     .     .     .  1976  1968  1993     .     .     .     .  1974     .     .
23724 1     1     1     1     4     4     4     4     6     7     3     3     2     4    14    18
23724 2  1966  1967  1969  1969  1969  1978  1966  1981  1970  1967  1981  1971  1967  1969  1969
23724 3  1973  1970  1970  1986  1976     .  1968     .     .  1977     .     .  1969  1978     .
23734 1     7     2     3     5     4     2     4     6    11    11     6     6    20    17    30
23734 2  2006  1970  1975  1975  1979  1970  2012  1968  2009  1983  1967  1970  2006  1975  2006
23734 3     .  1976  2009  1982  1999  1971     .  2008     .     .  2008     .     .     .     .
23867 1     3     1     3     3     3     4    17    12     9     3     2     1     5    31    34
23867 2  1974  1968  1966  1980  1981  1980  1967  1966  1970  1970  1978  1966  1966  1967  1967
23867 3     .  1969     .     .  2003     .     .  1968  1975  1981     .  1969  1970     .     .
23884 1     5     4     1     2     3     4     7    11     6     2     2     3    11    16    17
23884 2  1972  1967  1972  2000  1983  1996  2001  1986  1975  1967  1970  1966  1972  1985  1974
23884 3  1974     .  1994     .     .  2003     .     .  1987  1987     .  1968     .     .     .
23891 1    17     5     2     3     5     8    15    22    18     8     5    23    41    55    87
23891 2  2001  2006  1993  1973  1973  2008  1986  1989  1974  2009  1987  2000  2000  1986  2000
23891 3     .     .  2000     .  1992  2011  2000     .  1975     .  1998     .     .     .     .
23914 1     3     4     6     9     6     6     4     6    10    11    10     5    23    23    46
23914 2  1971  1971  1974  1982  2012  1978  1973  1979  1984  1987  1977  1976  1971  1971  1971
23914 3  1975  1973     .     .     .     .  1977     .     .     .     .     .     .     .     .
23921 1     7     6     2     4     4     3     6     5     7     6     7    12    18    16    28
23921 2  1972  1966  1971  1970  1974  1990  1998  1979  1975  1974  1969  1968  1969  1970  1979
23921 3     .     .  1978     .  1999     .     .  1990     .     .     .     .     .  1974     .
23933 1    10     3     3     5     4     1     1     6     5     7     7     6    13    12    22
23933 2  2006  1990  1967  1975  1969  1967  1967  1977  1980  1983  1977  1968  1970  1980  1969
23933 3     .     .  1983     .     .  1968  1973     .  2009     .     .     .     .     .     .
23955 1     6     4     3     3     3     2     2     5     5     4     3     8    16    11    24
23955 2  1969  1969  1966  1976  1968  1976  1967  1978  1983  1972  1968  1968  1968  1987  1968
23955 3     .  1999     .  1980     .     .  1973     .  1987     .     .     .     .     .     .
23966 1     1     1     1     1     3     5    17    12     6     4     1     2     5    34    39
23966 2  1972  1986  1968  1968  1973  1971  1967  1967  1968  1967  1969  1966  1967  1967  1967
23966 3     .     .     .  1976     .     .     .     .     .  1981  1973     .     .     .     .
23986 1     7     4     1     2     5     4     5    10     6     4     3     5    10    20    26
23986 2  2001  1969  1973  1982  1990  1967  1969  1972  1970  1967  1986  2010  1968  1982  2001
23986 3  2006     .  1993  2001     .  1971  1982     .  1991  1981     .     .     .     .     .
24125 1     .     1     1     1     1     2     2     5     4     4     1     2     6     8     9
24125 2     .  1979  1974  1966  1966  1973  1974  1969  1991  2009  1997  2007  2009  1973  1974
24125 3     .  1991     .  1971  1973  1998  1977     .     .     .  2002     .     .  1974     .
24136 1     1     1     .     1     1     3     5    10     9     3     2     1     4    17    17
24136 2  1975  1970     .  1967  1970  1998  2006  2009  1983  1971  1982  1966  1982  1983  1983
24136 3     .  1973     .  1968  1984     .     .     .     .     .     .     .     .     .     .
24143 1     4     3     1     2     1     1     1     4     6     3     1     1     5     9    13
24143 2  1966  1974  1968  1968  1969  1969  1976  1966  1971  2008  2009  1972  1966  1976  1966
24143 3     .     .  1980  1976  1976  1970  1978  1969     .  2009     .  1974  1968     .     .
24266 1     9     4     3     1     1     1     2     8     8     3     4     6    16    16    26
24266 2  2003  2003  2003  1966  1971  1969  1971  1971  2002  1974  2001  2002  2003  1971  2003
24266 3     .     .     .  1968  1975  1970  1981     .     .  1975     .     .     .     .     .
24329 1     .     .     .     1     2     3     6    17     4     1     1     .     1    22    22
24329 2     .     .     .  2012  1979  2005  2010  2009  2011  1967  2010     .  1967  2009  2009
24329 3     .     .     .     .     .  2010     .     .     .  1972     .     .  1972     .  2010
24343 1     4     2     1     3     3     2     2     5     5     7     4     3    10    10    14
24343 2  1979  1974  1968  1968  1981  1998  1983  1967  1985  1996  1971  1973  1973  1997  1967
24343 3     .  1976  1969     .     .     .  2000  2002  1997     .     .     .     .  2002  1985
24382 1    19    10     6     .     1     1     1     3     5     4    13    19    44     7    46
24382 2  2008  1970  1969     .  1967  1970  1974  1969  1971  1981  1970  1976  1976  1971  1976
24382 3     .     .     .     .  1971  1990  1976  1987     .     .     .     .     .     .     .
24507 1    25    25     7     1     2     6     9    15    22     5    13    26    68    48   103
24507 2  1979  1969  1966  1966  1975  1969  1967  2003  1991  1977  1968  2000  1985  1991  1991
24507 3     .     .  1977  1970  1977     .  2008     .     .  2009     .     .     .     .     .
24606 1     6     5     1     1     2     4     6    16     8     3     3     5    12    25    28
24606 2  1987  1991  1966  1970  1988  1967  1966  1994  1968  1996  1968  1986  1991  1967  1967
24606 3     .     .  1969  1979     .  2001  1967     .  1991     .  1987     .     .     .  1991
24641 1    11     6     1     .     1     .     2     4     2     2     7     9    21     5    25
24641 2  1985  1967  1967     .  1968     .  1974  1985  1966  1967  1970  1974  1974  1985  1974
24641 3     .  1974  1973     .  1972     .     .     .  1969  1969     .     .     .     .     .
24661 1     8     8     1     1     1     1     4     9     4     2     5    10    19    12    31
24661 2  1968  1974  1967  1974  1973  1969  1985  1967  1966  1975  1967  1984  1967  1967  1967
24661 3     .     .  1978  1982  1978  1974     .     .  1971     .  1975     .     .     .     .
24671 1    10     4     1     2     4     5     6    11     8     3     5     6    12    23    28
24671 2  1967  2007  1966  1970  1967  1967  1966  1980  1978  1972  1968  2000  1968  2004  1967
24671 3     .     .     .     .     .     .  1997  2000  1983     .  1997     .     .     .     .
24688 1     6     1     .     2     3     4     9    12     9     3     1     8    10    24    27
24688 2  1995  1968     .  1972  2009  1983  1970  1971  1983  1984  1966  1997  1997  1983  1971
24688 3     .  1971     .     .     .     .     .     .     .     .  1973     .     .     .     .
24713 1    10     7     1     2     2     6    14    16    11     3     2     5    19    33    42
24713 2  1966  1969  1966  1979  1985  2012  2005  1967  1991  1997  1970  1968  1969  2005  1966
24713 3     .     .  1967     .  1989     .     .     .     .     .  2010  1969     .     .     .
24738 1    15    15     8     3     1     3     6     8     5     3     7    11    50    14    60
24738 2  1966  1966  1966  1987  1966  1980  2000  1982  1976  1967  1987  1974  1966  1987  1966
24738 3     .  1969     .     .  1968     .     .     .     .     .     .     .     .     .     .
24790 1    26    20     9     1     2     2     4    11     9     2    14    30    64    15    73
24790 2  1989  1990  1988  1972  1983  1970  1993  1991  2003  1972  1982  1987  1990  2003  1990
24790 3     .     .     .  1991     .  2007  2004     .     .  1996     .     .     .     .     .
24817 1    15    17     5     2     1     4     5    13     6     2     9    14    36    18    47
24817 2  1979  1969  2010  1983  1966  2007  1968  1967  1974  1968  1998  2000  1969  1967  1969
24817 3  2006     .     .     .  1968     .  1982     .  1984  1980     .     .     .     .     .
24908 1    10    13     1     1     3     7     9    13     7     4     4    10    21    28    41
24908 2  1979  1985  1999  1966  2001  1967  1986  1967  1983  2009  1992  2000  2009  1967  2009
24908 3     .     .  2001  1974  2004     .  2005  1968  1991     .     .     .     .     .     .
24959 1    29    21     5     2     1     1     2     3     4     4    14    26    69     6    74
24959 2  1972  1966  1977  1997  1973  1969  1984  1967  1991  1970  1982  2004  1969  1997  1969
24959 3     .     .     .     .  1977  1974  1997  1971     .     .     .     .  1972     .     .
24966 1    13     4     1     2     2     5     8     8     7     4     3     8    20    21    32
24966 2  1989  1966  1967  1971  2010  1988  1974  1984  1974  1974  1982  2004  1989  1974  1974
24966 3     .     .  1977  1974     .     .     .     .  2003     .  2007     .     .     .     .
24967 1     1     .     .     2     4    13    16    18    11     2     1     .     2    54    56
24967 2  1967     .     .  1972  1967  1975  1972  1969  1974  1974  1970     .  1970  1974  1974
24967 3  1971     .     .     .  2010     .  1974  1974     .     .  1978     .  1974     .     .
25062 1     5     3     2     6    11    18    24    22    15     7     3     4    14    84    89
25062 2  1988  1972  1967  1968  2011  1980  1969  1990  1969  1988  1980  2009  1988  1969  1969
25062 3     .  2007  1968  1981     .  2007  2011  1995  1984     .  1981     .     .     .     .
25138 1     3     1     .     1     1     1     2     6     8     2     2     2     3    11    13
25138 2  1999  1973     .  1986  2001  1976  1979  2007  2005  1981  1985  1998  1974  2005  2005
25138 3     .     .     .  2004     .  1978  1984     .     .  2003     .     .  1985     .     .
25173 1    11     7     5     5    13    16    22    21    17     4     6     7    24    66    89
25173 2  1972  1970  1967  1966  1969  1977  1980  1979  1984  1971  2001  1969  1972  1969  1969
25173 3     .  1972     .  1974  1978  1978     .     .     .     .     .     .     .  1977     .
25206 1     9     9     5     1     2     2     4     6     8     4     2    10    25    15    33
25206 2  1971  1967  1969  1967  1974  1984  1974  1969  1974  1974  1970  1979  1967  1974  1982
25206 3  1973  1978     .  1969  1975     .     .     .     .  1982     .     .     .     .     .
25248 1     6     7     1     2     1     1     2     7     5     3     7    17    23     8    31
25248 2  1971  2005  1976  1990  1970  1980  1968  2005  1989  1968  1968  2004  2005  2005  2005
25248 3  2005     .     .     .     .  1991  1969     .     .  1971  1970     .     .     .     .
25282 1     4     5     3     6    15    17    19    23    16     4     5     2    10    66    70
25282 2  1988  1972  1982  1969  2011  1992  1987  1985  2007  1987  1971  1977  1986  1969  1969
25282 3     .     .     .  1981     .     .     .     .     .     .  1986  1980     .     .     .
25325 1     1     .     .     1     1     1     3     6     3     1     2     .     3     9     9
25325 2  1968     .     .  1990  2006  1998  1979  1985  1974  1974  1974     .  1974  1985  1974
25325 3  1969     .     .     .     .  2000  2005     .  1984  1982     .     .     .     .  1985
25356 1     2     3     2     3     4     2     2     8     4     2     2     3     8    10    12
25356 2  1968  1968  1997  1981  1971  2000  1968  1991  2007  1972  1967  1968  1968  1971  1968
25356 3  1969     .     .  1990     .     .  1969  2003     .  1975  1996  1983     .  2007  2003
25378 1     7     5     1     5    10    12     9     7     7     3     4     3     9    28    35
25378 2  1989  1982  1987  1992  2009  1989  1985  1978  1980  1987  1990  1977  1989  1980  1989
25378 3     .     .  1995     .     .     .     .     .     .  1996  1995  1983  1993     .     .
25399 1     5     5     5     7    14    18    19    23    14     5     4     4    12    67    71
25399 2  1981  1995  1989  1988  1995  1980  1990  2007  1978  1987  1990  2009  1995  2007  1977
25399 3     .     .  2002     .     .  1987     .     .  1984     .  1995     .     .     .     .
25400 1    15     8     5     1     2     1     2     6     8     5     9    11    36    15    40
25400 2  1967  1970  1967  1970  1990  1984  1996  1971  1971  1974  1966  1970  1970  1971  1970
25400 3     .     .     .  1974     .  1996     .  1991     .  1997     .     .     .     .     .
25428 1     4     4     2     1     1     3     7     9     5     3     9     8    20    18    31
25428 2  1966  1966  1989  1966  1975  1966  1969  1969  1996  1972  1968  1968  1968  1969  1968
25428 3  1970  1967     .  1989  1987     .     .     .     .  2009     .     .     .     .     .
25503 1     1     .     1     1     1     4     7    11     7     4     1     .     4    19    21
25503 2  2011     .  1975  2005  1967  1978  1972  1968  1970  1978  2006     .  1978  1968  1975
25503 3     .     .     .     .  1975     .     .  1971  2008  1982     .     .  1982  1975  1978
25538 1     1     1     .     .     1     2     2     4     3     2     2     .     2     7     8
25538 2  1975  1972     .     .  1967  1967  1973  1966  1971  1974  1977     .  1973  1966  1971
25538 3  1978  1973     .     .     .     .  1975     .  2003  1982     .     .  1974  1971     .
25551 1    19    14     8     4     5     4     6    11     9     9     6    13    37    23    48
25551 2  1989  2002  1988  2011  1967  1968  2007  1971  2008  2003  1986  1993  1993  1971  2003
25551 3     .     .     .     .  1971  1977     .     .     .     .     .     .     .     .     .
25563 1     8     4     4     6    10    15     8     6     6     5     7     4    15    31    42
25563 2  1996  1973  1966  1981  1967  1975  1977  1975  1973  1974  1986  1977  1977  1975  1977
25563 3     .  1995  1990     .  1990     .  1978  2003     .  1993     .     .     .     .     .
25594 1     4     2     3     3    11    13    15    11     5     2     3     2     9    35    37
25594 2  1968  1966  1968  1992  1967  1975  1995  1976  1997  1973  1966  1983  1968  1989  1989
25594 3     .  1967     .     .     .     .     .     .     .  1975     .     .     .     .     .
25677 1     9     6     7     7    11    16    18    16     6     5     9     5    17    53    58
25677 2  1980  1972  1967  1981  1990  1992  1977  1974  1975  1992  1985  1970  1972  1977  1977
25677 3     .  1982  1982     .     .     .     .     .     .     .     .     .     .     .     .
25705 1     1     1     .     1     1     2     4     9     8     8     4     3     8    16    18
25705 2  1966  1966     .  2012  1984  1966  1973  1971  1974  2008  2006  1966  2008  1971  1971
25705 3     .  1973     .     .  2002  2001     .  1991     .     .     .  2011     .     .     .
25745 1     7     4     1     3     6     5     4     7     5     3     4     5    11    25    34
25745 2  1973  1972  2007  1968  1968  1966  1971  1968  2006  1968  1977  1967  1972  1968  1968
25745 3     .     .     .  1972     .     .     .  1977     .  1970     .     .     .     .     .
25927 1     1     2     8    10    15    13     8     8     7     3     2     4    12    40    52
25927 2  1969  2003  2008  1982  1968  1970  2008  1977  2006  1981  1985  1999  2008  2008  2008
25927 3  1997     .     .     .     .  1998     .     .     .     .     .     .     .     .     .
25932 1     2     1     3     4    18    19    23    19    13     2     1     .     5    70    70
25932 2  2008  1975  2008  1982  1984  1969  1980  1968  1998  1978  1977     .  2008  1968  1968
25954 1     1     1     1     2    11     5     5     4     3     2     3     1     5    16    18
25954 2  1968  1968  1967  1984  1967  1970  1971  1966  1970  1990  1990  1977  1990  1967  1967
25954 3  1969  1974  1970  1986  1968     .     .  1973  1972     .     .  2010     .  1970     .
25956 1     2     .     2     4    12     9     9    11     6     5     3     2     7    38    42
25956 2  1968     .  2007  2002  1967  1966  1967  1973  1973  1973  1990  1966  1973  1967  1973
25956 3     .     .     .     .     .  1967  1970     .     .     .     .     .     .     .     .
26063 1     4     8     6     4     3     2     2     4     4     5     5     5    17    10    25
26063 2  1966  1982  1975  1972  1969  2005  1966  1967  1978  1997  1968  2007  1982  1966  1966
26063 3  2001     .     .  1976     .     .     .     .     .     .  2006     .     .  1976     .
26157 1    10    10    10     6     5     3     2     5     6     8     9    11    40    13    51
26157 2  1971  1974  1967  1967  1966  1987  1976  2002  1989  1966  1966  1971  1966  1989  1966
26157 3     .     .     .     .  1969     .  1977     .     .     .     .     .     .     .  1967
26275 1     6     5     8     6     3     4     6    10     6     6     6     7    24    22    43
26275 2  1971  1966  1983  1972  1968  1970  1966  1967  1968  1982  1966  1970  1966  1967  1967
26275 3     .  1970     .     .  1972     .     .     .  1980  1990     .     .     .     .     .
26359 1    10     8    11     8     7     8     9    11     9    13    10    11    39    35    71
26359 2  1971  1966  1975  1985  1967  1970  1972  1967  1980  1972  1976  1971  1971  1967  1967
26359 3     .  1974     .     .     .     .  1973     .     .     .  1986     .     .     .  1972
26781 1    19    14    16     9     3     7     7    10    11    12    15    14    63    28    87
26781 2  1971  1966  1967  1970  1974  1988  1979  1977  1980  1972  1968  1982  1966  1967  1966
26781 3     .     .     .     .  1976     .  1990     .  1981     .     .     .     .  1978     .
26997 1    15    16    13     8     6     5     4     4     7    14    16    12    69    20    78
26997 2  1971  1966  1967  1977  1987  1989  1989  1977  1977  1982  1966  1967  1966  1977  1966
26997 3     .     .  1975     .     .     .     .  1982     .     .     .  1980     .  1989     .
27037 1     6     5     7     6     3     5     8    11    10    10     8     5    17    24    39
27037 2  1966  1973  1983  1966  1987  1982  1974  1982  1967  1987  1969  1972  1966  1982  1982
27037 3     .     .     .     .     .     .     .     .     .     .     .     .  1976     .     .
27051 1     5     5     4     6     3     5     5    10     7     9     5     5    18    22    38
